Category,Resume_str
Human Resources,"Experienced HR Manager with 5+ years of hands-on experience in the Human Resources domain. Passionate about delivering impactful results and working in cross-functional teams. HR Manager at LinkedIn (2015–2018): Led initiatives involving Workday, workforce planning, and performance management. Collaborated with engineering and business teams to deliver high-quality outcomes. Improved key metrics by leveraging compensation and benefits and succession planning. Junior HR Manager at IBM (2018–2020): Worked on projects using organizational development, retention strategies, and compliance. Contributed to team goals and supported senior staff with diversity and inclusion tasks. Technical Skills: Workday, workforce planning, performance management, compensation and benefits, succession planning, organizational development, retention strategies, compliance, diversity and inclusion, onboarding Education: B.S. in Human Resources from Michigan State. Certifications: Completed relevant professional development in diversity and inclusion and onboarding."
Data Science,"Experienced ML Engineer with 5+ years of hands-on experience in the Data Science domain. Passionate about delivering impactful results and working in cross-functional teams. ML Engineer at DeepMind (2020–2023): Led initiatives involving machine learning, deep learning, and computer vision. Collaborated with engineering and business teams to deliver high-quality outcomes. Improved key metrics by leveraging SQL and Hadoop. Junior ML Engineer at Amazon (2023–2025): Worked on projects using Python, scikit-learn, and NLP. Contributed to team goals and supported senior staff with Spark tasks. Technical Skills: machine learning, deep learning, computer vision, SQL, Hadoop, Python, scikit-learn, NLP, Spark, Tableau Education: B.S. in Statistics from UC Berkeley. Certifications: Completed relevant professional development in NLP and Spark."
Marketing,"Experienced Brand Manager with 7+ years of hands-on experience in the Marketing domain. Passionate about delivering impactful results and working in cross-functional teams. Brand Manager at Unilever (2020–2024): Led initiatives involving SEO, content strategy, and campaign management. Collaborated with engineering and business teams to deliver high-quality outcomes. Improved key metrics by leveraging CRM and paid media. Junior Brand Manager at WPP (2024–2027): Worked on projects using digital marketing, market research, and copywriting. Contributed to team goals and supported senior staff with HubSpot tasks. Technical Skills: SEO, content strategy, campaign management, CRM, paid media, digital marketing, market research, copywriting, HubSpot, Google Analytics Education: B.A. in Marketing from NYU. Certifications: Completed relevant professional development in paid media and SEO."
Human Resources,"Experienced Recruiter with 3+ years of hands-on experience in the Human Resources domain. Passionate about delivering impactful results and working in cross-functional teams. Recruiter at ADP (2015–2016): Led initiatives involving HR analytics, training and development, and HRIS. Collaborated with engineering and business teams to deliver high-quality outcomes. Improved key metrics by leveraging Workday and employee relations. Junior Recruiter at Workday (2016–2018): Worked on projects using performance management, onboarding, and diversity and inclusion. Contributed to team goals and supported senior staff with retention strategies tasks. Technical Skills: HR analytics, training and development, HRIS, Workday, employee relations, performance management, onboarding, diversity and inclusion, retention strategies, conflict resolution Education: M.S. in Organizational Psychology from Columbia. Certifications: Completed relevant professional development in diversity and inclusion and performance management."
Data Science,"Experienced Analytics Lead with 6+ years of hands-on experience in the Data Science domain. Passionate about delivering impactful results and working in cross-functional teams. Analytics Lead at Uber (2018–2023): Led initiatives involving scikit-learn, Python, and NLP. Collaborated with engineering and business teams to deliver high-quality outcomes. Improved key metrics by leveraging machine learning and Hadoop. Junior Analytics Lead at Meta (2023–2024): Worked on projects using data visualization, feature engineering, and R. Contributed to team goals and supported senior staff with A/B testing tasks. Technical Skills: scikit-learn, Python, NLP, machine learning, Hadoop, data visualization, feature engineering, R, A/B testing, TensorFlow Education: B.S. in Statistics from UC Berkeley. Certifications: Completed relevant professional development in NLP and data visualization."
Marketing,"Experienced Marketing Manager with 6+ years of hands-on experience in the Marketing domain. Passionate about delivering impactful results and working in cross-functional teams. Marketing Manager at Spotify (2020–2023): Led initiatives involving HubSpot, Facebook Ads, and A/B testing. Collaborated with engineering and business teams to deliver high-quality outcomes. Improved key metrics by leveraging influencer marketing and paid media. Junior Marketing Manager at Publicis (2023–2026): Worked on projects using Salesforce, content strategy, and email marketing. Contributed to team goals and supported senior staff with market research tasks. Technical Skills: HubSpot, Facebook Ads, A/B testing, influencer marketing, paid media, Salesforce, content strategy, email marketing, market research, Google Analytics Education: B.S. in Business from USC. Certifications: Completed relevant professional development in Facebook Ads and Salesforce."
Cybersecurity,"Experienced Security Engineer with 3+ years of hands-on experience in the Cybersecurity domain. Passionate about delivering impactful results and working in cross-functional teams. Security Engineer at FireEye (2016–2018): Led initiatives involving threat intelligence, firewalls, and SIEM. Collaborated with engineering and business teams to deliver high-quality outcomes. Improved key metrics by leveraging ethical hacking and cloud security. Junior Security Engineer at Symantec (2018–2019): Worked on projects using GDPR compliance, NIST, and vulnerability assessment. Contributed to team goals and supported senior staff with IAM tasks. Technical Skills: threat intelligence, firewalls, SIEM, ethical hacking, cloud security, GDPR compliance, NIST, vulnerability assessment, IAM, forensics Education: B.S. in Cybersecurity from George Mason. Certifications: Completed relevant professional development in NIST and NIST."
Software Engineer,"Experienced Full Stack Engineer with 8+ years of hands-on experience in the Software Engineer domain. Passionate about delivering impactful results and working in cross-functional teams. Full Stack Engineer at Twilio (2015–2020): Led initiatives involving Kubernetes, Java, and React. Collaborated with engineering and business teams to deliver high-quality outcomes. Improved key metrics by leveraging gRPC and Python. Junior Full Stack Engineer at Shopify (2020–2023): Worked on projects using system design, C++, and Linux. Contributed to team goals and supported senior staff with PostgreSQL tasks. Technical Skills: Kubernetes, Java, React, gRPC, Python, system design, C++, Linux, PostgreSQL, Go Education: B.S. in Computer Engineering from UT Austin. Certifications: Completed relevant professional development in Linux and Kubernetes."
Product Management,"Experienced Director of Product with 6+ years of hands-on experience in the Product Management domain. Passionate about delivering impactful results and working in cross-functional teams. Director of Product at Notion (2019–2023): Led initiatives involving prioritization frameworks, Mixpanel, and user research. Collaborated with engineering and business teams to deliver high-quality outcomes. Improved key metrics by leveraging Agile and customer discovery. Junior Director of Product at Asana (2023–2025): Worked on projects using Figma, OKRs, and Amplitude. Contributed to team goals and supported senior staff with sprint planning tasks. Technical Skills: prioritization frameworks, Mixpanel, user research, Agile, customer discovery, Figma, OKRs, Amplitude, sprint planning, wireframing Education: B.S. in Business from Northwestern. Certifications: Completed relevant professional development in customer discovery and wireframing."
Finance,"Experienced Investment Banker with 5+ years of hands-on experience in the Finance domain. Passionate about delivering impactful results and working in cross-functional teams. Investment Banker at BlackRock (2017–2018): Led initiatives involving Excel, fixed income, and CFA. Collaborated with engineering and business teams to deliver high-quality outcomes. Improved key metrics by leveraging SQL and forecasting. Junior Investment Banker at Goldman Sachs (2018–2022): Worked on projects using credit analysis, DCF analysis, and financial reporting. Contributed to team goals and supported senior staff with Bloomberg tasks. Technical Skills: Excel, fixed income, CFA, SQL, forecasting, credit analysis, DCF analysis, financial reporting, Bloomberg, financial modeling Education: MBA from Harvard Business School. Certifications: Completed relevant professional development in credit analysis and credit analysis."
